Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
03/1974,97.44,0.29,0.70,47.80,7.21%,173.00,734,-0.06
04/1974,92.46,0.29,0.71,48.00,7.51%,169.25,735,-0.12
05/1974,89.67,0.29,0.72,48.60,7.58%,156.75,736,-0.02
06/1974,89.79,0.29,0.73,49.00,7.54%,144.25,737,-0.06
07/1974,79.31,0.29,0.74,49.40,7.81%,156.00,738,-0.05
08/1974,76.03,0.30,0.75,50.00,8.04%,156.00,733,0.11
09/1974,68.12,0.30,0.76,50.60,8.04%,151.25,734,-0.11
10/1974,69.44,0.30,0.75,51.10,7.90%,167.00,735,-0.08
11/1974,71.74,0.30,0.75,51.50,7.68%,184.00,736,-0.07
12/1974,67.07,0.30,0.74,51.90,7.43%,186.50,737,-0.09
01/1975,72.56,0.30,0.73,52.10,7.50%,175.80,738,0.07
02/1975,80.10,0.30,0.72,52.50,7.39%,181.75,739,0.07
03/1975,83.78,0.31,0.70,52.70,7.73%,177.25,740,0.13
04/1975,84.72,0.31,0.69,52.90,8.23%,167.00,741,0.05
05/1975,90.10,0.31,0.68,53.20,8.06%,167.00,742,0.16
06/1975,92.40,0.31,0.66,53.60,7.86%,166.25,743,0.00
07/1975,92.49,0.31,0.66,54.20,8.06%,166.70,744,-0.01
08/1975,85.71,0.31,0.65,54.30,8.40%,159.80,745,-0.19
09/1975,84.67,0.31,0.65,54.60,8.43%,141.25,746,-0.03
10/1975,88.57,0.31,0.65,54.90,8.14%,142.90,747,-0.09
11/1975,90.07,0.31,0.66,55.30,8.05%,138.15,748,-0.16
12/1975,88.70,0.31,0.66,55.50,8.00%,140.25,749,-0.17
01/1976,96.86,0.31,0.68,55.60,7.74%,128.15,750,-0.01
02/1976,100.60,0.31,0.70,55.80,7.79%,132.30,751,-0.06
03/1976,101.10,0.31,0.72,55.90,7.73%,129.60,752,-0.21
04/1976,101.90,0.31,0.74,56.10,7.56%,128.40,753,-0.08
05/1976,101.20,0.31,0.75,56.50,7.90%,125.50,754,-0.24
06/1976,101.80,0.31,0.77,56.80,7.86%,123.80,755,-0.16
07/1976,104.20,0.32,0.78,57.10,7.83%,112.50,756,-0.10
08/1976,103.30,0.32,0.79,57.40,7.77%,104.00,757,-0.15
09/1976,105.50,0.32,0.80,57.60,7.59%,116.00,758,-0.09
10/1976,101.90,0.33,0.81,57.90,7.41%,123.15,759,-0.26
11/1976,101.20,0.33,0.82,58.00,7.29%,130.25,760,-0.04
12/1976,104.70,0.34,0.83,58.20,6.87%,134.50,761,0.10
01/1977,103.80,0.34,0.83,58.50,7.21%,132.30,627,0.19
02/1977,101.00,0.35,0.84,59.10,7.39%,142.75,628,0.22
03/1977,100.60,0.35,0.84,59.50,7.46%,148.90,629,0.25
04/1977,99.05,0.35,0.85,60.00,7.37%,147.25,630,0.27
05/1977,98.76,0.36,0.86,60.30,7.46%,142.95,631,0.30
06/1977,99.29,0.36,0.87,60.70,7.28%,143.00,632,0.24
07/1977,100.20,0.37,0.88,61.00,7.33%,144.10,633,0.20
08/1977,97.75,0.37,0.88,61.20,7.40%,146.00,634,0.16
09/1977,96.23,0.38,0.89,61.40,7.34%,154.05,635,0.00
10/1977,93.74,0.38,0.90,61.60,7.52%,161.50,636,0.02
11/1977,94.28,0.38,0.90,61.90,7.58%,160.05,637,0.17
12/1977,93.82,0.39,0.91,62.10,7.69%,164.95,638,0.02
01/1978,90.25,0.39,0.91,62.50,7.96%,175.75,639,0.06
02/1978,88.98,0.40,0.91,62.90,8.03%,182.25,640,0.14
03/1978,88.82,0.40,0.91,63.40,8.04%,181.60,641,0.21
04/1978,92.71,0.40,0.92,63.90,8.15%,170.85,642,0.15
05/1978,97.41,0.41,0.93,64.50,8.35%,184.15,643,0.06
06/1978,97.66,0.41,0.94,65.20,8.46%,183.05,644,-0.02
07/1978,97.19,0.41,0.95,65.70,8.64%,200.25,645,0.03
08/1978,103.90,0.42,0.95,66.00,8.41%,208.70,646,-0.17
09/1978,103.90,0.42,0.96,66.50,8.42%,217.10,647,0.05
10/1978,100.60,0.42,0.99,67.10,8.64%,242.60,648,0.00
11/1978,94.71,0.42,1.01,67.40,8.81%,193.40,649,0.16
12/1978,96.11,0.42,1.03,67.70,9.01%,226.00,650,0.10
01/1979,99.71,0.43,1.05,68.30,9.10%,233.70,651,0.12
02/1979,98.23,0.43,1.08,69.10,9.10%,251.30,652,-0.10
03/1979,100.10,0.43,1.11,69.80,9.12%,240.10,653,0.18
04/1979,102.10,0.44,1.13,70.60,9.18%,245.30,654,0.13
05/1979,99.73,0.44,1.15,71.50,9.25%,274.60,655,0.06
06/1979,101.70,0.45,1.17,72.30,8.91%,277.50,656,0.13
07/1979,102.70,0.45,1.18,73.10,8.95%,296.45,657,0.02
08/1979,107.40,0.45,1.20,73.80,9.03%,315.10,658,0.14
09/1979,108.60,0.46,1.22,74.60,9.33%,397.25,659,0.25
10/1979,104.50,0.46,1.23,75.20,10.30%,382.00,660,0.24
11/1979,103.70,0.47,1.23,75.90,10.65%,415.65,661,0.28
12/1979,107.80,0.47,1.24,76.70,10.39%,512.00,662,0.47
01/1980,110.90,0.48,1.25,77.80,10.80%,653.00,663,0.30
02/1980,115.30,0.48,1.26,78.90,12.41%,637.00,664,0.43
03/1980,104.70,0.48,1.27,80.10,12.75%,494.50,665,0.30
04/1980,103.00,0.49,1.26,81.00,11.47%,518.00,666,0.33
05/1980,107.70,0.49,1.25,81.80,10.18%,535.50,667,0.36
06/1980,114.60,0.50,1.25,82.70,9.78%,653.50,668,0.17
07/1980,119.80,0.50,1.24,82.70,10.25%,614.25,669,0.29
08/1980,123.50,0.50,1.23,83.30,11.10%,631.25,670,0.23
09/1980,126.50,0.51,1.22,84.00,11.51%,666.75,671,0.19
10/1980,130.20,0.51,1.23,84.80,11.75%,629.00,672,0.18
11/1980,135.70,0.51,1.23,85.50,12.68%,619.75,673,0.29
12/1980,133.50,0.51,1.24,86.30,12.84%,589.75,674,0.20
01/1981,133.00,0.52,1.23,87.00,12.57%,506.50,839,0.55
02/1981,128.40,0.52,1.22,87.90,13.19%,489.00,840,0.41
03/1981,133.20,0.52,1.22,88.50,13.12%,513.75,841,0.49
04/1981,134.40,0.53,1.23,89.10,13.68%,482.75,842,0.31
05/1981,131.70,0.53,1.24,89.80,14.10%,479.25,843,0.24
06/1981,132.30,0.53,1.25,90.60,13.47%,426.00,844,0.32
07/1981,129.10,0.54,1.26,91.60,14.28%,406.00,845,0.34
08/1981,129.60,0.54,1.27,92.30,14.94%,425.00,846,0.32
09/1981,118.30,0.54,1.27,93.20,15.32%,428.75,847,0.17
10/1981,119.80,0.55,1.28,93.40,15.15%,427.00,848,0.14
11/1981,122.90,0.55,1.28,93.70,13.39%,414.50,849,0.24
12/1981,123.80,0.55,1.28,94.00,13.72%,397.50,850,0.43
01/1982,117.30,0.56,1.26,94.30,14.59%,387.00,851,0.10
02/1982,114.50,0.56,1.25,94.60,14.43%,362.60,852,0.15
03/1982,110.80,0.56,1.23,94.50,13.86%,320.00,853,-0.01
04/1982,116.30,0.56,1.22,94.90,13.87%,361.25,854,0.09
05/1982,116.40,0.57,1.20,95.80,13.62%,325.25,855,0.16
06/1982,109.70,0.57,1.18,97.00,14.30%,317.50,856,0.05
07/1982,109.40,0.57,1.16,97.50,13.95%,342.90,857,0.13
08/1982,109.70,0.57,1.15,97.70,13.06%,411.50,858,0.07
09/1982,122.40,0.57,1.13,97.90,12.34%,397.00,859,0.14
10/1982,132.70,0.57,1.10,98.20,10.91%,423.25,860,0.13
11/1982,138.10,0.57,1.08,98.00,10.55%,436.00,861,0.15
12/1982,139.40,0.57,1.05,97.60,10.54%,456.90,862,0.43
01/1983,144.30,0.57,1.05,97.80,10.46%,499.50,863,0.52
02/1983,146.80,0.57,1.04,97.90,10.72%,408.50,864,0.40
03/1983,151.90,0.58,1.04,97.90,10.51%,414.75,865,0.42
04/1983,157.70,0.58,1.04,98.60,10.40%,429.25,866,0.31
05/1983,164.10,0.58,1.04,99.20,10.38%,437.50,867,0.36
06/1983,166.40,0.58,1.05,99.50,10.85%,416.00,868,0.20
07/1983,167.00,0.58,1.07,99.90,11.38%,422.00,869,0.17
08/1983,162.40,0.58,1.09,100.20,11.85%,414.25,870,0.33
09/1983,167.20,0.58,1.11,100.70,11.65%,405.00,871,0.39
10/1983,167.70,0.59,1.13,101.00,11.54%,382.00,872,0.16
11/1983,165.20,0.59,1.15,101.20,11.69%,405.00,873,0.32
12/1983,164.40,0.59,1.17,101.30,11.83%,382.40,874,0.17
01/1984,166.40,0.59,1.20,101.90,11.67%,373.75,875,0.30
02/1984,157.30,0.60,1.24,102.40,11.84%,394.25,876,0.17
03/1984,157.40,0.60,1.27,102.60,12.32%,388.50,877,0.29
04/1984,157.60,0.60,1.30,103.10,12.63%,375.80,878,0.09
05/1984,156.60,0.61,1.32,103.40,13.41%,384.25,879,0.33
06/1984,153.10,0.61,1.35,103.70,13.56%,373.05,880,0.06
07/1984,151.10,0.61,1.36,104.10,13.36%,342.35,881,0.17
08/1984,164.40,0.61,1.37,104.50,12.72%,348.25,882,0.16
09/1984,166.10,0.62,1.38,105.00,12.52%,343.75,883,0.21
10/1984,164.80,0.62,1.38,105.30,12.16%,333.50,884,0.16
11/1984,166.30,0.62,1.38,105.30,11.57%,329.00,885,0.06
12/1984,164.50,0.63,1.39,105.30,11.50%,308.30,886,-0.05
01/1985,171.60,0.63,1.38,105.50,11.38%,306.65,887,0.22
02/1985,180.90,0.63,1.37,106.00,11.51%,287.75,888,-0.06
03/1985,179.40,0.64,1.37,106.40,11.86%,329.25,889,0.17
04/1985,180.60,0.64,1.34,106.90,11.43%,321.35,890,0.11
05/1985,184.90,0.64,1.32,107.30,10.85%,314.00,891,0.17
06/1985,188.90,0.65,1.30,107.60,10.16%,317.75,892,0.18
07/1985,192.50,0.65,1.29,107.80,10.31%,327.50,893,-0.01
08/1985,188.30,0.65,1.28,108.00,10.33%,333.25,894,0.15
09/1985,184.10,0.65,1.27,108.30,10.37%,325.75,895,0.15
10/1985,186.20,0.66,1.25,108.70,10.24%,325.10,896,0.11
11/1985,197.50,0.66,1.23,109.00,9.78%,325.30,897,0.09
12/1985,207.30,0.66,1.22,109.30,9.26%,326.80,898,0.15
01/1986,208.20,0.66,1.22,109.60,9.19%,350.50,899,0.29
02/1986,219.40,0.67,1.21,109.30,8.70%,338.15,900,0.39
03/1986,232.30,0.67,1.21,108.80,7.78%,344.00,901,0.28
04/1986,238.00,0.67,1.22,108.60,7.30%,345.75,902,0.24
05/1986,238.50,0.67,1.22,108.90,7.71%,343.20,903,0.25
06/1986,245.30,0.68,1.23,109.50,7.80%,346.75,904,0.11
07/1986,240.20,0.68,1.23,109.50,7.30%,357.50,905,0.11
08/1986,245.00,0.68,1.23,109.70,7.17%,384.70,906,0.12
09/1986,238.30,0.69,1.24,110.20,7.45%,423.20,907,0.00
10/1986,237.40,0.69,1.23,110.30,7.43%,401.00,908,0.13
11/1986,245.10,0.69,1.22,110.40,7.25%,389.50,909,0.11
12/1986,248.60,0.69,1.21,110.50,7.11%,388.75,910,0.17
01/1987,264.50,0.69,1.22,111.20,7.08%,400.50,911,0.36
02/1987,280.90,0.69,1.24,111.60,7.25%,405.85,912,0.46
03/1987,292.50,0.70,1.26,112.10,7.25%,421.00,913,0.16
04/1987,289.30,0.70,1.24,112.70,8.02%,453.25,914,0.22
05/1987,289.10,0.71,1.22,113.10,8.61%,451.00,915,0.25
06/1987,301.40,0.71,1.20,113.50,8.40%,447.30,916,0.37
07/1987,310.10,0.71,1.24,113.80,8.45%,462.50,917,0.45
08/1987,329.40,0.72,1.28,114.40,8.76%,453.40,918,0.28
09/1987,318.70,0.72,1.32,115.00,9.42%,459.50,919,0.39
10/1987,280.20,0.73,1.37,115.30,9.52%,468.80,920,0.32
11/1987,245.00,0.73,1.41,115.40,8.86%,492.50,921,0.25
12/1987,241.00,0.73,1.46,115.40,8.99%,484.10,922,0.48
01/1988,250.50,0.74,1.49,115.70,8.67%,458.00,923,0.57
02/1988,258.10,0.74,1.52,116.00,8.21%,426.15,924,0.43
03/1988,265.70,0.75,1.55,116.50,8.37%,456.95,925,0.51
04/1988,262.60,0.75,1.63,117.10,8.72%,449.00,926,0.45
05/1988,256.10,0.76,1.72,117.50,9.09%,455.50,927,0.43
06/1988,270.70,0.77,1.81,118.00,8.92%,436.55,928,0.43
07/1988,269.10,0.78,1.84,118.50,9.06%,436.80,929,0.34
08/1988,263.70,0.78,1.86,119.00,9.26%,427.75,930,0.47
09/1988,268.00,0.79,1.89,119.80,8.98%,396.70,931,0.41
10/1988,277.40,0.80,1.92,120.20,8.80%,412.40,932,0.39
11/1988,271.00,0.80,1.95,120.30,8.96%,422.60,933,0.12
12/1988,276.50,0.81,1.98,120.50,9.11%,410.25,934,0.33
01/1989,285.40,0.82,2.01,121.10,9.09%,394.00,775,0.15
02/1989,294.00,0.82,2.05,121.60,9.17%,387.00,776,0.35
03/1989,292.70,0.83,2.08,122.30,9.36%,383.20,777,0.36
04/1989,302.30,0.84,2.09,123.10,9.18%,377.55,778,0.33
05/1989,313.90,0.85,2.09,123.80,8.86%,361.80,779,0.16
06/1989,323.70,0.86,2.10,124.10,8.28%,373.00,780,0.14
07/1989,331.90,0.87,2.06,124.40,8.02%,368.30,781,0.33
08/1989,346.60,0.88,2.02,124.60,8.11%,359.80,782,0.37
09/1989,347.30,0.89,1.97,125.00,8.19%,366.50,783,0.37
10/1989,347.40,0.90,1.95,125.60,8.01%,375.30,784,0.31
11/1989,340.20,0.91,1.93,125.90,7.87%,408.15,785,0.20
12/1989,348.60,0.92,1.91,126.10,7.84%,398.60,786,0.38
01/1990,339.97,0.93,1.87,127.40,8.21%,415.05,787,0.40
02/1990,330.45,0.94,1.84,128.00,8.47%,407.70,788,0.41
03/1990,338.46,0.94,1.81,128.70,8.59%,368.50,789,0.76
04/1990,338.18,0.95,1.79,128.90,8.79%,367.75,790,0.55
05/1990,350.25,0.96,1.78,129.20,8.76%,363.05,791,0.46
06/1990,360.39,0.97,1.77,129.90,8.48%,352.20,792,0.38
07/1990,360.03,0.98,1.79,130.40,8.47%,372.30,793,0.43
08/1990,330.75,0.98,1.80,131.60,8.75%,387.75,794,0.30
09/1990,315.41,0.99,1.81,132.70,8.89%,408.40,795,0.28
10/1990,307.12,0.99,1.80,133.50,8.72%,379.50,796,0.41
11/1990,315.29,1.00,1.79,133.80,8.39%,384.85,797,0.45
12/1990,328.75,1.01,1.78,133.80,8.08%,386.20,798,0.40
01/1991,325.49,1.01,1.77,134.60,8.09%,366.00,799,0.40
02/1991,362.26,1.01,1.75,134.80,7.85%,362.70,800,0.49
03/1991,372.28,1.01,1.75,135.00,8.11%,355.65,801,0.34
04/1991,379.68,1.01,1.70,135.20,8.04%,357.75,802,0.52
05/1991,377.99,1.01,1.65,135.60,8.07%,360.40,803,0.37
06/1991,378.29,1.01,1.62,136.00,8.28%,368.35,804,0.52
07/1991,380.23,1.02,1.57,136.20,8.27%,362.85,805,0.47
08/1991,389.40,1.02,1.53,136.60,7.90%,347.40,806,0.39
09/1991,387.20,1.02,1.49,137.20,7.65%,354.90,807,0.48
10/1991,386.88,1.02,1.43,137.40,7.53%,357.45,808,0.29
11/1991,385.92,1.02,1.38,137.80,7.42%,366.30,809,0.31
12/1991,388.51,1.02,1.33,137.90,7.09%,353.15,810,0.32
01/1992,416.08,1.02,1.34,138.10,7.03%,354.10,811,0.44
02/1992,412.56,1.02,1.34,138.60,7.34%,353.10,812,0.41
03/1992,407.36,1.03,1.35,139.30,7.54%,341.70,813,0.47
04/1992,407.41,1.03,1.37,139.50,7.48%,336.35,814,0.23
05/1992,414.81,1.03,1.40,139.70,7.39%,337.50,815,0.32
06/1992,408.27,1.03,1.42,140.20,7.26%,343.40,816,0.25
07/1992,415.05,1.03,1.45,140.50,6.84%,357.85,817,0.11
08/1992,417.93,1.03,1.48,140.90,6.59%,340.00,818,0.07
09/1992,418.48,1.03,1.50,141.30,6.42%,349.00,819,-0.01
10/1992,412.50,1.03,1.53,141.80,6.59%,339.25,820,0.08
11/1992,422.84,1.03,1.56,142.00,6.87%,334.20,821,0.03
12/1992,435.64,1.03,1.59,141.90,6.77%,332.90,822,0.21
01/1993,435.23,1.03,1.61,142.60,6.60%,330.45,557,0.37
02/1993,441.70,1.04,1.63,143.10,6.26%,327.60,558,0.38
03/1993,450.16,1.04,1.65,143.60,5.98%,337.80,559,0.36
04/1993,443.08,1.04,1.64,144.00,5.97%,354.30,560,0.26
05/1993,445.25,1.04,1.63,144.20,6.04%,377.45,561,0.27
06/1993,448.06,1.04,1.61,144.40,5.96%,378.45,562,0.25
07/1993,447.29,1.04,1.64,144.40,5.81%,401.75,563,0.27
08/1993,454.13,1.04,1.67,144.80,5.68%,371.55,564,0.13
09/1993,459.24,1.04,1.70,145.10,5.36%,355.50,565,0.10
10/1993,463.90,1.05,1.74,145.70,5.33%,369.60,566,0.22
11/1993,462.89,1.05,1.78,145.80,5.72%,370.90,567,0.06
12/1993,465.95,1.05,1.82,145.80,5.77%,391.75,568,0.16
01/1994,472.99,1.05,1.85,146.20,5.75%,377.90,569,0.27
02/1994,471.58,1.06,1.87,146.70,5.97%,381.55,570,0.02
03/1994,463.81,1.06,1.89,147.20,6.48%,389.20,571,0.27
04/1994,447.23,1.06,1.96,147.40,6.97%,376.45,572,0.40
05/1994,450.90,1.07,2.03,147.50,7.18%,387.60,573,0.28
06/1994,454.83,1.07,2.10,148.00,7.10%,388.25,574,0.42
07/1994,451.40,1.07,2.16,148.40,7.30%,384.00,575,0.30
08/1994,464.24,1.08,2.22,149.00,7.24%,385.75,576,0.21
09/1994,466.96,1.08,2.28,149.40,7.46%,394.85,577,0.28
10/1994,463.81,1.08,2.37,149.50,7.74%,383.85,578,0.41
11/1994,461.01,1.09,2.46,149.70,7.96%,383.10,579,0.46
12/1994,455.19,1.10,2.55,149.70,7.81%,383.25,580,0.36
01/1995,465.25,1.10,2.60,150.30,7.78%,374.90,581,0.50
02/1995,481.92,1.10,2.66,150.90,7.47%,376.40,582,0.78
03/1995,493.15,1.10,2.71,151.40,7.20%,392.00,583,0.45
04/1995,507.91,1.10,2.76,151.90,7.06%,389.75,584,0.47
05/1995,523.81,1.11,2.82,152.20,6.63%,384.30,585,0.26
06/1995,539.35,1.11,2.87,152.50,6.17%,387.05,586,0.41
07/1995,557.37,1.12,2.89,152.50,6.28%,383.35,587,0.48
08/1995,559.11,1.13,2.91,152.90,6.49%,382.35,588,0.45
09/1995,578.77,1.13,2.93,153.20,6.20%,384.00,589,0.32
10/1995,582.92,1.14,2.90,153.70,6.04%,382.65,590,0.47
11/1995,595.53,1.14,2.86,153.60,5.93%,387.80,591,0.45
12/1995,614.57,1.15,2.83,153.50,5.71%,387.00,592,0.28
01/1996,614.42,1.16,2.83,154.40,5.65%,405.55,593,0.25
02/1996,649.54,1.17,2.83,154.90,5.81%,400.65,594,0.48
03/1996,647.07,1.18,2.84,155.70,6.27%,396.35,595,0.32
04/1996,647.17,1.18,2.86,156.30,6.51%,391.30,596,0.36
05/1996,661.23,1.18,2.89,156.60,6.74%,390.55,597,0.26
06/1996,668.50,1.19,2.91,156.70,6.91%,382.00,598,0.25
07/1996,644.07,1.20,2.94,157.00,6.87%,385.30,599,0.35
08/1996,662.68,1.21,2.97,157.30,6.64%,386.45,600,0.48
09/1996,674.88,1.22,3.00,157.80,6.83%,379.00,601,0.25
10/1996,701.46,1.23,3.08,158.30,6.53%,379.50,602,0.18
11/1996,735.67,1.24,3.15,158.60,6.20%,371.30,603,0.41
12/1996,743.25,1.24,3.23,158.60,6.30%,369.25,604,0.40
01/1997,766.22,1.25,3.27,159.10,6.58%,345.50,605,0.31
02/1997,798.39,1.25,3.31,159.60,6.42%,358.60,606,0.38
03/1997,792.16,1.26,3.35,160.00,6.69%,348.15,607,0.53
04/1997,763.93,1.26,3.36,160.20,6.89%,340.15,608,0.35
05/1997,833.09,1.26,3.37,160.10,6.71%,345.60,609,0.36
06/1997,876.29,1.26,3.38,160.30,6.49%,334.55,610,0.53
07/1997,925.29,1.27,3.38,160.50,6.22%,326.35,611,0.34
08/1997,927.24,1.27,3.38,160.80,6.30%,325.35,612,0.40
09/1997,937.02,1.28,3.39,161.20,6.21%,332.10,613,0.53
10/1997,951.16,1.28,3.36,161.60,6.03%,311.40,614,0.62
11/1997,938.92,1.29,3.34,161.50,5.88%,296.80,615,0.64
12/1997,962.37,1.29,3.31,161.30,5.81%,290.20,616,0.59
01/1998,963.36,1.30,3.31,161.60,5.54%,304.85,617,0.60
02/1998,1023.74,1.30,3.30,161.90,5.57%,297.40,618,0.90
03/1998,1076.83,1.30,3.30,162.20,5.65%,301.00,619,0.63
04/1998,1112.20,1.31,3.28,162.50,5.64%,310.70,620,0.63
05/1998,1108.42,1.32,3.26,162.80,5.65%,293.60,621,0.69
06/1998,1108.39,1.33,3.25,163.00,5.50%,296.30,622,0.77
07/1998,1156.58,1.33,3.22,163.20,5.46%,288.85,623,0.68
08/1998,1074.62,1.34,3.20,163.40,5.34%,273.40,624,0.66
09/1998,1020.64,1.35,3.17,163.60,4.81%,293.85,625,0.42
10/1998,1032.47,1.35,3.16,164.00,4.53%,292.30,626,0.44
11/1998,1144.43,1.35,3.15,164.00,4.83%,294.70,627,0.49
12/1998,1190.05,1.35,3.14,163.90,4.65%,287.80,628,0.56
01/1999,1248.77,1.36,3.16,164.30,4.72%,285.40,629,0.48
02/1999,1246.58,1.36,3.18,164.50,5.00%,287.05,630,0.65
03/1999,1281.66,1.37,3.20,165.00,5.23%,279.45,631,0.34
04/1999,1334.76,1.37,3.27,166.20,5.18%,286.60,632,0.32
05/1999,1332.07,1.37,3.35,166.20,5.54%,268.60,633,0.31
06/1999,1322.55,1.37,3.42,166.20,5.90%,261.00,634,0.37
07/1999,1380.99,1.38,3.50,166.70,5.79%,255.60,635,0.37
08/1999,1327.49,1.38,3.58,167.10,5.94%,254.80,636,0.31
09/1999,1318.17,1.39,3.66,167.90,5.92%,299.00,637,0.41
10/1999,1300.01,1.39,3.78,168.20,6.11%,299.10,638,0.39
11/1999,1391.00,1.39,3.90,168.30,6.03%,291.35,639,0.38
12/1999,1428.68,1.39,4.01,168.30,6.28%,290.25,640,0.43
01/2000,1425.59,1.39,4.09,168.80,6.66%,283.30,641,0.24
02/2000,1388.87,1.39,4.17,169.80,6.52%,293.65,642,0.56
03/2000,1442.21,1.40,4.25,171.20,6.26%,276.75,643,0.57
04/2000,1461.36,1.40,4.27,171.30,5.99%,275.05,644,0.57
05/2000,1418.48,1.39,4.30,171.50,6.44%,272.25,645,0.36
06/2000,1461.96,1.39,4.33,172.40,6.10%,288.15,646,0.41
07/2000,1473.00,1.38,4.38,172.80,6.05%,276.75,647,0.38
08/2000,1485.46,1.37,4.43,172.80,5.83%,277.00,648,0.42
09/2000,1468.05,1.36,4.48,173.70,5.80%,273.65,649,0.40
10/2000,1390.14,1.36,4.37,174.00,5.74%,264.50,650,0.28
11/2000,1378.04,1.36,4.27,174.10,5.72%,269.10,651,0.32
12/2000,1330.93,1.36,4.17,174.00,5.24%,274.45,652,0.29
01/2001,1335.63,1.35,4.04,175.10,5.16%,264.50,654,0.42
02/2001,1305.75,1.34,3.91,175.80,5.10%,266.70,655,0.44
03/2001,1185.85,1.33,3.79,176.20,4.89%,257.70,656,0.56
04/2001,1189.84,1.32,3.55,176.90,5.14%,263.15,657,0.50
05/2001,1270.37,1.32,3.31,177.70,5.39%,267.50,658,0.56
06/2001,1238.71,1.31,3.07,178.00,5.28%,270.60,659,0.54
07/2001,1204.45,1.31,2.83,177.50,5.24%,265.90,660,0.60
08/2001,1178.50,1.31,2.59,177.50,4.97%,273.00,661,0.48
09/2001,1044.64,1.31,2.36,178.30,4.73%,293.10,662,0.54
10/2001,1076.59,1.31,2.26,177.70,4.57%,278.75,663,0.50
11/2001,1129.68,1.31,2.16,177.40,4.65%,275.50,664,0.70
12/2001,1144.93,1.31,2.06,176.70,5.09%,276.50,665,0.55
01/2002,1140.21,1.31,2.06,177.10,5.04%,282.30,666,0.75
02/2002,1100.67,1.31,2.06,177.80,4.91%,296.85,667,0.75
03/2002,1153.79,1.31,2.06,178.80,5.28%,301.40,668,0.90
04/2002,1111.93,1.32,2.12,179.80,5.21%,308.20,669,0.56
05/2002,1079.25,1.33,2.17,179.80,5.16%,326.60,670,0.64
06/2002,1014.02,1.34,2.23,179.90,4.93%,318.50,671,0.55
07/2002,903.59,1.33,2.32,180.10,4.65%,304.65,672,0.61
08/2002,912.55,1.32,2.41,180.70,4.26%,312.80,673,0.53
09/2002,867.81,1.32,2.50,181.00,3.87%,323.70,674,0.62
10/2002,854.63,1.32,2.44,181.30,3.94%,316.90,675,0.55
11/2002,909.93,1.33,2.37,181.30,4.05%,319.05,676,0.58
12/2002,899.18,1.34,2.30,180.90,4.03%,347.20,677,0.44
01/2003,895.84,1.34,2.38,181.70,4.05%,367.50,678,0.73
02/2003,837.03,1.35,2.45,183.10,3.90%,347.45,679,0.55
03/2003,846.63,1.35,2.53,184.20,3.81%,334.85,680,0.58
04/2003,890.03,1.35,2.64,183.80,3.96%,336.75,681,0.53
05/2003,935.96,1.35,2.76,183.50,3.57%,361.40,682,0.61
06/2003,988.00,1.35,2.88,183.70,3.33%,346.00,683,0.48
07/2003,992.54,1.36,2.99,183.90,3.98%,354.75,684,0.53
08/2003,989.53,1.37,3.10,184.60,4.45%,375.60,685,0.65
09/2003,1019.44,1.38,3.22,185.20,4.27%,388.00,686,0.64
10/2003,1038.73,1.40,3.50,185.00,4.29%,386.25,687,0.74
11/2003,1049.90,1.43,3.78,184.50,4.30%,398.35,688,0.52
12/2003,1080.64,1.45,4.06,184.30,4.27%,416.25,689,0.73
01/2004,1132.52,1.47,4.15,185.20,4.15%,399.75,690,0.59
02/2004,1143.36,1.48,4.24,186.20,4.08%,395.85,691,0.72
03/2004,1123.98,1.50,4.33,187.40,3.83%,423.70,692,0.65
04/2004,1133.36,1.52,4.45,188.00,4.35%,388.50,693,0.63
05/2004,1102.78,1.53,4.56,189.10,4.72%,393.25,694,0.39
06/2004,1132.76,1.55,4.68,189.70,4.73%,395.80,695,0.43
07/2004,1105.85,1.57,4.72,189.40,4.50%,391.40,696,0.24
08/2004,1088.94,1.58,4.77,189.50,4.28%,407.25,697,0.43
09/2004,1117.66,1.60,4.81,189.90,4.13%,415.65,698,0.50
10/2004,1117.21,1.60,4.84,190.90,4.10%,425.55,699,0.64
11/2004,1168.94,1.61,4.86,191.00,4.19%,453.40,700,0.70
12/2004,1199.21,1.62,4.88,190.30,4.23%,435.60,701,0.50
01/2005,1181.41,1.64,4.93,190.70,4.22%,422.15,702,0.71
02/2005,1199.63,1.66,4.97,191.80,4.17%,435.45,703,0.57
03/2005,1194.90,1.69,5.02,193.30,4.50%,427.50,704,0.71
04/2005,1164.43,1.71,5.10,194.60,4.34%,435.70,705,0.67
05/2005,1178.28,1.72,5.19,194.40,4.14%,414.45,706,0.62
06/2005,1202.25,1.74,5.27,194.50,4.00%,437.10,707,0.66
07/2005,1222.24,1.76,5.36,195.40,4.18%,429.00,708,0.64
08/2005,1224.27,1.77,5.45,196.40,4.26%,433.25,709,0.60
09/2005,1225.92,1.79,5.54,198.80,4.20%,473.25,710,0.74
10/2005,1191.96,1.81,5.63,199.20,4.46%,470.75,711,0.76
11/2005,1237.37,1.83,5.73,197.60,4.54%,495.65,712,0.72
12/2005,1262.07,1.85,5.82,196.80,4.47%,513.00,713,0.65
01/2006,1278.73,1.87,5.90,198.30,4.42%,568.75,714,0.56
02/2006,1276.65,1.88,5.98,198.70,4.57%,556.00,715,0.69
